Belegnr;Empfänger/Auftraggeber;Datum;Vorgangsart;Buchungsinfo;Soll;Haben;Wg
B00231;Bäckerei Steinecke;14.07.2025;Kartenzahlung;BAECKEREI STEINECKE;7,40;;EUR
B00232;Lieferando.de;14.07.2025;Kartenzahlung;LIEFERANDO BESTELLUNG;40,40;;EUR
B00233;LIDL Vertriebs GmbH;15.07.2025;Kartenzahlung;LIDL DANKT IHNEN;53,00;;EUR
B00234;Vattenfall Europe Sales GmbH;15.07.2025;Folgelastschrift;STROM ABSCHLAG 07/2025;78,00;;EUR
B00235;Deutsche Bahn AG;16.07.2025;Kartenzahlung;DB FERNVERKEHR TICKET;26,60;;EUR
B00236;Döner Haus Kreuzberg;17.07.2025;Kartenzahlung;DOENER HAUS;11,30;;EUR
B00237;DEAN AND DAVID;18.07.2025;Kartenzahlung;DEAN+DAVID 1188;11,00;;EUR
B00238;AMAZON PRIME MEMBERSHIP;19.07.2025;Kartenzahlung;AMZN PRIME DE MITGLIEDSCHAFT;8,99;;EUR
B00239;OBI Baumarkt;19.07.2025;Kartenzahlung;OBI BAUMARKT BERLIN;41,76;;EUR
B00240;Sparkasse Geldautomat;21.07.2025;Bargeldauszahlung;GA NR00012345 BLZ12030000 01.07/BERLIN;200,00;;EUR
B00241;ADOBE SYSTEMS SOFTWARE;22.07.2025;Kartenzahlung;ADOBE CREATIVE CLOUD ABO;23,79;;EUR
B00242;PayPal Europe S.a.r.l.;24.07.2025;Online-Ueberweisung;PP.4711.PP . MAX SCHULZ, Ihre Zahlung;13,00;;EUR
B00243;REWE Markt GmbH;24.07.2025;Kartenzahlung;REWE SAGT DANKE. BIS BALD;52,90;;EUR
B00244;BVG Berliner Verkehrsbetriebe;25.07.2025;Folgelastschrift;DEUTSCHLANDTICKET 07/2025;49,00;;EUR
B00245;VAPIANO Berlin Mitte;25.07.2025;Kartenzahlung;VAPIANO MITTE;14,10;;EUR
B00246;DEAN AND DAVID;26.07.2025;Kartenzahlung;DEAN+DAVID 1188;9,00;;EUR
B00247;PayPal Europe S.a.r.l.;26.07.2025;Online-Ueberweisung;PP.4711.PP . ANNA WEBER, Ihre Zahlung;21,50;;EUR
B00248;REWE Markt GmbH;27.07.2025;Kartenzahlung;REWE SAGT DANKE. BIS BALD;19,40;;EUR
B00249;EDEKA Sander;28.07.2025;Kartenzahlung;EDEKA SAGT DANKE;35,40;;EUR
B00250;Mustermann Systems GmbH;28.07.2025;Lohn  Gehalt;GEHALT 07/2025 PERS.NR 4711;;2.850,00;EUR
B00251;Fitness First Germany;01.08.2025;Folgelastschrift;MITGLIEDSBEITRAG 08/2025;39,90;;EUR
B00252;Hausverwaltung Bergmann GmbH;01.08.2025;Dauerauftrag;MIETE WOHNUNG 12 08/2025;1.150,00;;EUR
B00253;UBER BV;01.08.2025;Kartenzahlung;UBER TRIP HELP.UBER.COM;16,00;;EUR
B00254;ALDI SÜD;02.08.2025;Kartenzahlung;ALDI SUED SAGT DANKE;24,80;;EUR
B00255;Allianz Versicherungs-AG;02.08.2025;Folgelastschrift;HAUSRAT UND HAFTPFLICHT 08/2025;42,50;;EUR
B00256;KAUFLAND BERLIN;04.08.2025;Kartenzahlung;KAUFLAND 4711 BERLIN;31,80;;EUR
B00257;Telekom Deutschland GmbH;05.08.2025;Folgelastschrift;MAGENTA ZUHAUSE 100 MBIT;39,99;;EUR
B00258;NETFLIX INTERNATIONAL BV;07.08.2025;Folgelastschrift;NETFLIX STANDARD ABO;12,99;;EUR
B00259;PayPal Europe S.a.r.l.;07.08.2025;Online-Ueberweisung;PP.4711.PP . ANNA WEBER, Ihre Zahlung;16,00;;EUR
B00260;dm drogerie markt;07.08.2025;Kartenzahlung;DM FIL 8817 BERLIN;33,70;;EUR
B00261;Vodafone GmbH;08.08.2025;Folgelastschrift;MOBILFUNK RECHNUNG 08/2025;19,99;;EUR
B00262;REWE Markt GmbH;09.08.2025;Kartenzahlung;REWE SAGT DANKE. BIS BALD;16,90;;EUR
B00263;KAUFLAND BERLIN;11.08.2025;Kartenzahlung;KAUFLAND 4711 BERLIN;88,20;;EUR
B00264;SPOTIFY AB;11.08.2025;Folgelastschrift;SPOTIFY PREMIUM;10,99;;EUR
B00265;Sparkasse Geldautomat;12.08.2025;Bargeldauszahlung;GA NR00012345 BLZ12030000 01.08/BERLIN;200,00;;EUR
B00266;Bäckerei Steinecke;14.08.2025;Kartenzahlung;BAECKEREI STEINECKE;11,10;;EUR
B00267;EDEKA Sander;14.08.2025;Kartenzahlung;EDEKA SAGT DANKE;27,50;;EUR
B00268;Vattenfall Europe Sales GmbH;15.08.2025;Folgelastschrift;STROM ABSCHLAG 08/2025;78,00;;EUR
B00269;Cafe Milchbart;16.08.2025;Kartenzahlung;CAFE MILCHBART;10,80;;EUR
B00270;DEAN AND DAVID;18.08.2025;Kartenzahlung;DEAN+DAVID 1188;13,30;;EUR
B00271;PayPal Europe S.a.r.l.;18.08.2025;Online-Ueberweisung;PP.4711.PP . ANNA WEBER, Ihre Zahlung;38,00;;EUR
B00272;UBER BV;18.08.2025;Kartenzahlung;UBER TRIP HELP.UBER.COM;24,00;;EUR
B00273;AMAZON PRIME MEMBERSHIP;19.08.2025;Kartenzahlung;AMZN PRIME DE MITGLIEDSCHAFT;8,99;;EUR
B00274;AMAZON EU S.A R.L.;20.08.2025;Kartenzahlung;AMZN Mktp DE 710779;74,80;;EUR
B00275;Deutsche Bahn AG;20.08.2025;Kartenzahlung;DB FERNVERKEHR TICKET;38,30;;EUR
B00276;ALDI SÜD;21.08.2025;Kartenzahlung;ALDI SUED SAGT DANKE;41,40;;EUR
B00277;ADOBE SYSTEMS SOFTWARE;22.08.2025;Kartenzahlung;ADOBE CREATIVE CLOUD ABO;23,79;;EUR
B00278;NETTO MARKEN-DISCOUNT;22.08.2025;Kartenzahlung;NETTO FILIALE 3312;15,90;;EUR
B00279;Bäckerei Steinecke;23.08.2025;Kartenzahlung;BAECKEREI STEINECKE;3,00;;EUR
B00280;Cafe Milchbart;24.08.2025;Kartenzahlung;CAFE MILCHBART;7,60;;EUR
B00281;BVG Berliner Verkehrsbetriebe;25.08.2025;Folgelastschrift;DEUTSCHLANDTICKET 08/2025;49,00;;EUR
B00282;AMAZON EU S.A R.L.;28.08.2025;Kartenzahlung;AMZN Mktp DE 395191;9,60;;EUR
B00283;Mustermann Systems GmbH;28.08.2025;Lohn  Gehalt;GEHALT 08/2025 PERS.NR 4711;;2.850,00;EUR
B00284;PayPal Europe S.a.r.l.;28.08.2025;Online-Ueberweisung;PP.4711.PP . JONAS KELLER, Ihre Zahlung;10,00;;EUR
B00285;Sparkasse Geldautomat;28.08.2025;Bargeldauszahlung;GA NR00012345 BLZ12030000 01.08/BERLIN;50,00;;EUR
B00286;Fitness First Germany;01.09.2025;Folgelastschrift;MITGLIEDSBEITRAG 09/2025;39,90;;EUR
B00287;Hausverwaltung Bergmann GmbH;01.09.2025;Dauerauftrag;MIETE WOHNUNG 12 09/2025;1.150,00;;EUR
B00288;dm drogerie markt;01.09.2025;Kartenzahlung;DM FIL 8817 BERLIN;38,80;;EUR
B00289;Allianz Versicherungs-AG;02.09.2025;Folgelastschrift;HAUSRAT UND HAFTPFLICHT 09/2025;42,50;;EUR
B00290;AMAZON EU S.A R.L.;03.09.2025;Kartenzahlung;AMZN Mktp DE 168881;24,30;;EUR
B00291;ALDI SÜD;04.09.2025;Kartenzahlung;ALDI SUED SAGT DANKE;35,10;;EUR
B00292;AMAZON EU S.A R.L.;04.09.2025;Kartenzahlung;AMZN Mktp DE 453422;12,20;;EUR
B00293;PayPal Europe S.a.r.l.;05.09.2025;Online-Ueberweisung;PP.4711.PP . JONAS KELLER, Ihre Zahlung;36,50;;EUR
B00294;Telekom Deutschland GmbH;05.09.2025;Folgelastschrift;MAGENTA ZUHAUSE 100 MBIT;39,99;;EUR
B00295;HANS IM GLUECK Burgergrill;06.09.2025;Kartenzahlung;HANS IM GLUECK BURGERGRILL BERLIN;25,90;;EUR
B00296;REWE Markt GmbH;06.09.2025;Kartenzahlung;REWE SAGT DANKE. BIS BALD;51,30;;EUR
B00297;Sparkasse Geldautomat;06.09.2025;Bargeldauszahlung;GA NR00012345 BLZ12030000 01.09/BERLIN;200,00;;EUR
B00298;VAPIANO Berlin Mitte;06.09.2025;Kartenzahlung;VAPIANO MITTE;20,60;;EUR
B00299;dm drogerie markt;06.09.2025;Kartenzahlung;DM FIL 8817 BERLIN;28,30;;EUR
B00300;LIDL Vertriebs GmbH;07.09.2025;Kartenzahlung;LIDL DANKT IHNEN;42,50;;EUR
B00301;LIDL Vertriebs GmbH;07.09.2025;Kartenzahlung;LIDL DANKT IHNEN;25,60;;EUR
B00302;Lieferando.de;07.09.2025;Kartenzahlung;LIEFERANDO BESTELLUNG;32,40;;EUR
B00303;NETFLIX INTERNATIONAL BV;07.09.2025;Folgelastschrift;NETFLIX STANDARD ABO;12,99;;EUR
B00304;Vodafone GmbH;08.09.2025;Folgelastschrift;MOBILFUNK RECHNUNG 09/2025;19,99;;EUR
B00305;Lieferando.de;10.09.2025;Kartenzahlung;LIEFERANDO BESTELLUNG;34,40;;EUR
B00306;SPOTIFY AB;11.09.2025;Folgelastschrift;SPOTIFY PREMIUM;10,99;;EUR
B00307;NETTO MARKEN-DISCOUNT;12.09.2025;Kartenzahlung;NETTO FILIALE 3312;22,20;;EUR
B00308;UBER BV;12.09.2025;Kartenzahlung;UBER TRIP HELP.UBER.COM;23,50;;EUR
B00309;dm drogerie markt;12.09.2025;Kartenzahlung;DM FIL 8817 BERLIN;20,60;;EUR
B00310;KAUFLAND BERLIN;14.09.2025;Kartenzahlung;KAUFLAND 4711 BERLIN;44,20;;EUR
B00311;UBER BV;14.09.2025;Kartenzahlung;UBER TRIP HELP.UBER.COM;10,60;;EUR
B00312;KAUFLAND BERLIN;15.09.2025;Kartenzahlung;KAUFLAND 4711 BERLIN;45,60;;EUR
B00313;Vattenfall Europe Sales GmbH;15.09.2025;Folgelastschrift;STROM ABSCHLAG 09/2025;78,00;;EUR
B00314;KAUFLAND BERLIN;16.09.2025;Kartenzahlung;KAUFLAND 4711 BERLIN;85,60;;EUR
B00315;Lieferando.de;16.09.2025;Kartenzahlung;LIEFERANDO BESTELLUNG;16,10;;EUR
B00316;EDEKA Sander;18.09.2025;Kartenzahlung;EDEKA SAGT DANKE;54,10;;EUR
B00317;UBER BV;18.09.2025;Kartenzahlung;UBER TRIP HELP.UBER.COM;13,80;;EUR
B00318;AMAZON PRIME MEMBERSHIP;19.09.2025;Kartenzahlung;AMZN PRIME DE MITGLIEDSCHAFT;8,99;;EUR
B00319;Sparkasse Geldautomat;21.09.2025;Bargeldauszahlung;GA NR00012345 BLZ12030000 01.09/BERLIN;100,00;;EUR
B00320;ADOBE SYSTEMS SOFTWARE;22.09.2025;Kartenzahlung;ADOBE CREATIVE CLOUD ABO;23,79;;EUR
B00321;Cafe Milchbart;22.09.2025;Kartenzahlung;CAFE MILCHBART;5,90;;EUR
B00322;BVG Berliner Verkehrsbetriebe;25.09.2025;Folgelastschrift;DEUTSCHLANDTICKET 09/2025;49,00;;EUR
B00323;LIDL Vertriebs GmbH;28.09.2025;Kartenzahlung;LIDL DANKT IHNEN;26,20;;EUR
B00324;Mustermann Systems GmbH;28.09.2025;Lohn  Gehalt;GEHALT 09/2025 PERS.NR 4711;;2.850,00;EUR
B00325;Döner Haus Kreuzberg;01.10.2025;Kartenzahlung;DOENER HAUS;9,10;;EUR
B00326;Fitness First Germany;01.10.2025;Folgelastschrift;MITGLIEDSBEITRAG 10/2025;39,90;;EUR
B00327;Hausverwaltung Bergmann GmbH;01.10.2025;Dauerauftrag;MIETE WOHNUNG 12 10/2025;1.150,00;;EUR
B00328;Allianz Versicherungs-AG;02.10.2025;Folgelastschrift;HAUSRAT UND HAFTPFLICHT 10/2025;42,50;;EUR
B00329;PayPal Europe S.a.r.l.;02.10.2025;Online-Ueberweisung;PP.4711.PP . JONAS KELLER, Ihre Zahlung;40,00;;EUR
B00330;DEAN AND DAVID;05.10.2025;Kartenzahlung;DEAN+DAVID 1188;12,30;;EUR
B00331;Sparkasse Geldautomat;05.10.2025;Bargeldauszahlung;GA NR00012345 BLZ12030000 01.10/BERLIN;100,00;;EUR
B00332;Telekom Deutschland GmbH;05.10.2025;Folgelastschrift;MAGENTA ZUHAUSE 100 MBIT;39,99;;EUR
B00333;dm drogerie markt;05.10.2025;Kartenzahlung;DM FIL 8817 BERLIN;7,30;;EUR
B00334;ALDI SÜD;06.10.2025;Kartenzahlung;ALDI SUED SAGT DANKE;16,70;;EUR
B00335;NETFLIX INTERNATIONAL BV;07.10.2025;Folgelastschrift;NETFLIX STANDARD ABO;12,99;;EUR
B00336;Vodafone GmbH;08.10.2025;Folgelastschrift;MOBILFUNK RECHNUNG 10/2025;19,99;;EUR
B00337;SPOTIFY AB;11.10.2025;Folgelastschrift;SPOTIFY PREMIUM;10,99;;EUR
B00338;ALDI SÜD;13.10.2025;Kartenzahlung;ALDI SUED SAGT DANKE;44,30;;EUR
B00339;ALDI SÜD;13.10.2025;Kartenzahlung;ALDI SUED SAGT DANKE;11,10;;EUR
B00340;Bäckerei Steinecke;13.10.2025;Kartenzahlung;BAECKEREI STEINECKE;10,10;;EUR
B00341;Deutsche Bahn AG;14.10.2025;Kartenzahlung;DB FERNVERKEHR TICKET;57,10;;EUR
B00342;Vattenfall Europe Sales GmbH;15.10.2025;Folgelastschrift;STROM ABSCHLAG 10/2025;78,00;;EUR
B00343;EDEKA Sander;17.10.2025;Kartenzahlung;EDEKA SAGT DANKE;23,90;;EUR
B00344;PayPal Europe S.a.r.l.;17.10.2025;Online-Ueberweisung;PP.4711.PP . ANNA WEBER, Ihre Zahlung;19,00;;EUR
B00345;REWE Markt GmbH;17.10.2025;Kartenzahlung;REWE SAGT DANKE. BIS BALD;22,60;;EUR
B00346;AMAZON PRIME MEMBERSHIP;19.10.2025;Kartenzahlung;AMZN PRIME DE MITGLIEDSCHAFT;8,99;;EUR
B00347;Döner Haus Kreuzberg;19.10.2025;Kartenzahlung;DOENER HAUS;9,40;;EUR
B00348;LIDL Vertriebs GmbH;19.10.2025;Kartenzahlung;LIDL DANKT IHNEN;55,00;;EUR
B00349;PayPal Europe S.a.r.l.;19.10.2025;Online-Ueberweisung;PP.4711.PP . ANNA WEBER, Ihre Zahlung;14,00;;EUR
B00350;dm drogerie markt;20.10.2025;Kartenzahlung;DM FIL 8817 BERLIN;16,90;;EUR
B00351;ADOBE SYSTEMS SOFTWARE;22.10.2025;Kartenzahlung;ADOBE CREATIVE CLOUD ABO;23,79;;EUR
B00352;REWE Markt GmbH;23.10.2025;Kartenzahlung;REWE SAGT DANKE. BIS BALD;20,00;;EUR
B00353;AMAZON EU S.A R.L.;25.10.2025;Kartenzahlung;AMZN Mktp DE 624531;66,30;;EUR
B00354;BVG Berliner Verkehrsbetriebe;25.10.2025;Folgelastschrift;DEUTSCHLANDTICKET 10/2025;49,00;;EUR
B00355;Bäckerei Steinecke;25.10.2025;Kartenzahlung;BAECKEREI STEINECKE;4,40;;EUR
B00356;NETTO MARKEN-DISCOUNT;26.10.2025;Kartenzahlung;NETTO FILIALE 3312;40,90;;EUR
B00357;Sparkasse Geldautomat;26.10.2025;Bargeldauszahlung;GA NR00012345 BLZ12030000 01.10/BERLIN;100,00;;EUR
B00358;AMAZON EU S.A R.L.;27.10.2025;Kartenzahlung;AMZN Mktp DE 789769;24,40;;EUR
B00359;Mustermann Systems GmbH;28.10.2025;Lohn  Gehalt;GEHALT 10/2025 PERS.NR 4711;;2.850,00;EUR
B00360;Fitness First Germany;01.11.2025;Folgelastschrift;MITGLIEDSBEITRAG 11/2025;39,90;;EUR
B00361;Hausverwaltung Bergmann GmbH;01.11.2025;Dauerauftrag;MIETE WOHNUNG 12 11/2025;1.150,00;;EUR
B00362;Lieferando.de;01.11.2025;Kartenzahlung;LIEFERANDO BESTELLUNG;23,80;;EUR
B00363;PayPal Europe S.a.r.l.;01.11.2025;Online-Ueberweisung;PP.4711.PP . MAX SCHULZ, Ihre Zahlung;34,00;;EUR
B00364;Allianz Versicherungs-AG;02.11.2025;Folgelastschrift;HAUSRAT UND HAFTPFLICHT 11/2025;42,50;;EUR
B00365;Lieferando.de;02.11.2025;Kartenzahlung;LIEFERANDO BESTELLUNG;17,10;;EUR
B00366;NETTO MARKEN-DISCOUNT;02.11.2025;Kartenzahlung;NETTO FILIALE 3312;33,20;;EUR
B00367;ALDI SÜD;04.11.2025;Kartenzahlung;ALDI SUED SAGT DANKE;10,10;;EUR
B00368;KAUFLAND BERLIN;05.11.2025;Kartenzahlung;KAUFLAND 4711 BERLIN;79,70;;EUR
B00369;PayPal Europe S.a.r.l.;05.11.2025;Online-Ueberweisung;PP.4711.PP . LEA HOFFMANN, Ihre Zahlung;28,00;;EUR
B00370;Telekom Deutschland GmbH;05.11.2025;Folgelastschrift;MAGENTA ZUHAUSE 100 MBIT;39,99;;EUR
B00371;Sparkasse Geldautomat;06.11.2025;Bargeldauszahlung;GA NR00012345 BLZ12030000 01.11/BERLIN;100,00;;EUR
B00372;NETFLIX INTERNATIONAL BV;07.11.2025;Folgelastschrift;NETFLIX STANDARD ABO;12,99;;EUR
B00373;Vodafone GmbH;08.11.2025;Folgelastschrift;MOBILFUNK RECHNUNG 11/2025;19,99;;EUR
B00374;Döner Haus Kreuzberg;09.11.2025;Kartenzahlung;DOENER HAUS;5,80;;EUR
B00375;LIDL Vertriebs GmbH;09.11.2025;Kartenzahlung;LIDL DANKT IHNEN;38,70;;EUR
B00376;SPOTIFY AB;11.11.2025;Folgelastschrift;SPOTIFY PREMIUM;10,99;;EUR
B00377;ALDI SÜD;13.11.2025;Kartenzahlung;ALDI SUED SAGT DANKE;12,00;;EUR
B00378;dm drogerie markt;13.11.2025;Kartenzahlung;DM FIL 8817 BERLIN;11,40;;EUR
B00379;Vattenfall Europe Sales GmbH;15.11.2025;Folgelastschrift;STROM ABSCHLAG 11/2025;78,00;;EUR
B00380;KAUFLAND BERLIN;17.11.2025;Kartenzahlung;KAUFLAND 4711 BERLIN;51,70;;EUR
B00381;AMAZON PRIME MEMBERSHIP;19.11.2025;Kartenzahlung;AMZN PRIME DE MITGLIEDSCHAFT;8,99;;EUR
B00382;SHELL DEUTSCHLAND;19.11.2025;Kartenzahlung;SHELL STATION 1204;58,00;;EUR
B00383;Döner Haus Kreuzberg;21.11.2025;Kartenzahlung;DOENER HAUS;8,40;;EUR
B00384;Zahnarztpraxis Dr. Lorenz;21.11.2025;Folgelastschrift;RECHNUNG 2025-8841;189,00;;EUR
B00385;ADOBE SYSTEMS SOFTWARE;22.11.2025;Kartenzahlung;ADOBE CREATIVE CLOUD ABO;23,79;;EUR
B00386;Lieferando.de;22.11.2025;Kartenzahlung;LIEFERANDO BESTELLUNG;27,10;;EUR
B00387;AMAZON EU S.A R.L.;23.11.2025;Kartenzahlung;AMZN Mktp DE 250114;57,20;;EUR
B00388;NETTO MARKEN-DISCOUNT;24.11.2025;Kartenzahlung;NETTO FILIALE 3312;33,10;;EUR
B00389;Sparkasse Geldautomat;24.11.2025;Bargeldauszahlung;GA NR00012345 BLZ12030000 01.11/BERLIN;50,00;;EUR
B00390;BVG Berliner Verkehrsbetriebe;25.11.2025;Folgelastschrift;DEUTSCHLANDTICKET 11/2025;49,00;;EUR
B00391;KAUFLAND BERLIN;25.11.2025;Kartenzahlung;KAUFLAND 4711 BERLIN;18,70;;EUR
B00392;Döner Haus Kreuzberg;27.11.2025;Kartenzahlung;DOENER HAUS;6,10;;EUR
B00393;REWE Markt GmbH;27.11.2025;Kartenzahlung;REWE SAGT DANKE. BIS BALD;50,90;;EUR
B00394;Mustermann Systems GmbH;28.11.2025;Lohn  Gehalt;GEHALT 11/2025 PERS.NR 4711;;2.850,00;EUR
B00395;ALDI SÜD;01.12.2025;Kartenzahlung;ALDI SUED SAGT DANKE;18,10;;EUR
B00396;Cafe Milchbart;01.12.2025;Kartenzahlung;CAFE MILCHBART;9,40;;EUR
B00397;Fitness First Germany;01.12.2025;Folgelastschrift;MITGLIEDSBEITRAG 12/2025;39,90;;EUR
B00398;Hausverwaltung Bergmann GmbH;01.12.2025;Dauerauftrag;MIETE WOHNUNG 12 12/2025;1.150,00;;EUR
B00399;PayPal Europe S.a.r.l.;01.12.2025;Online-Ueberweisung;PP.4711.PP . MAX SCHULZ, Ihre Zahlung;18,00;;EUR
B00400;REWE Markt GmbH;01.12.2025;Kartenzahlung;REWE SAGT DANKE. BIS BALD;61,60;;EUR
B00401;Allianz Versicherungs-AG;02.12.2025;Folgelastschrift;HAUSRAT UND HAFTPFLICHT 12/2025;42,50;;EUR
B00402;DEAN AND DAVID;02.12.2025;Kartenzahlung;DEAN+DAVID 1188;16,10;;EUR
B00403;EDEKA Sander;04.12.2025;Kartenzahlung;EDEKA SAGT DANKE;29,80;;EUR
B00404;Telekom Deutschland GmbH;05.12.2025;Folgelastschrift;MAGENTA ZUHAUSE 100 MBIT;39,99;;EUR
B00405;Sparkasse Geldautomat;06.12.2025;Bargeldauszahlung;GA NR00012345 BLZ12030000 01.12/BERLIN;100,00;;EUR
B00406;VAPIANO Berlin Mitte;06.12.2025;Kartenzahlung;VAPIANO MITTE;27,00;;EUR
B00407;Döner Haus Kreuzberg;07.12.2025;Kartenzahlung;DOENER HAUS;7,10;;EUR
B00408;LIDL Vertriebs GmbH;07.12.2025;Kartenzahlung;LIDL DANKT IHNEN;42,10;;EUR
B00409;Lieferando.de;07.12.2025;Kartenzahlung;LIEFERANDO BESTELLUNG;22,00;;EUR
B00410;NETFLIX INTERNATIONAL BV;07.12.2025;Folgelastschrift;NETFLIX STANDARD ABO;12,99;;EUR
B00411;Vodafone GmbH;08.12.2025;Folgelastschrift;MOBILFUNK RECHNUNG 12/2025;19,99;;EUR
B00412;AMAZON EU S.A R.L.;09.12.2025;Kartenzahlung;AMZN Mktp DE 498689;12,70;;EUR
B00413;LIDL Vertriebs GmbH;09.12.2025;Kartenzahlung;LIDL DANKT IHNEN;37,10;;EUR
B00414;Bäckerei Steinecke;10.12.2025;Kartenzahlung;BAECKEREI STEINECKE;7,20;;EUR
B00415;SHELL DEUTSCHLAND;11.12.2025;Kartenzahlung;SHELL STATION 1204;73,50;;EUR
B00416;SPOTIFY AB;11.12.2025;Folgelastschrift;SPOTIFY PREMIUM;10,99;;EUR
B00417;Bäckerei Steinecke;12.12.2025;Kartenzahlung;BAECKEREI STEINECKE;10,30;;EUR
B00418;Bäckerei Steinecke;14.12.2025;Kartenzahlung;BAECKEREI STEINECKE;10,00;;EUR
B00419;EDEKA Sander;15.12.2025;Kartenzahlung;EDEKA SAGT DANKE;18,70;;EUR
B00420;Vattenfall Europe Sales GmbH;15.12.2025;Folgelastschrift;STROM ABSCHLAG 12/2025;78,00;;EUR
B00421;SHELL DEUTSCHLAND;16.12.2025;Kartenzahlung;SHELL STATION 1204;69,70;;EUR
B00422;AMAZON PRIME MEMBERSHIP;19.12.2025;Kartenzahlung;AMZN PRIME DE MITGLIEDSCHAFT;8,99;;EUR
B00423;PayPal Europe S.a.r.l.;20.12.2025;Online-Ueberweisung;PP.4711.PP . LEA HOFFMANN, Ihre Zahlung;39,50;;EUR
B00424;ADOBE SYSTEMS SOFTWARE;22.12.2025;Kartenzahlung;ADOBE CREATIVE CLOUD ABO;23,79;;EUR
B00425;PayPal Europe S.a.r.l.;22.12.2025;Online-Ueberweisung;PP.4711.PP . MAX SCHULZ, Ihre Zahlung;27,00;;EUR
B00426;dm drogerie markt;24.12.2025;Kartenzahlung;DM FIL 8817 BERLIN;13,70;;EUR
B00427;dm drogerie markt;24.12.2025;Kartenzahlung;DM FIL 8817 BERLIN;22,00;;EUR
B00428;BVG Berliner Verkehrsbetriebe;25.12.2025;Folgelastschrift;DEUTSCHLANDTICKET 12/2025;49,00;;EUR
B00429;SHELL DEUTSCHLAND;25.12.2025;Kartenzahlung;SHELL STATION 1204;61,80;;EUR
B00430;Döner Haus Kreuzberg;26.12.2025;Kartenzahlung;DOENER HAUS;5,70;;EUR
B00431;Sparkasse Geldautomat;26.12.2025;Bargeldauszahlung;GA NR00012345 BLZ12030000 01.12/BERLIN;100,00;;EUR
B00432;ALDI SÜD;28.12.2025;Kartenzahlung;ALDI SUED SAGT DANKE;10,10;;EUR
B00433;Mustermann Systems GmbH;28.12.2025;Lohn  Gehalt;GEHALT 12/2025 PERS.NR 4711;;2.850,00;EUR
